record_id,age_group_code,city_tier_code,income_q_code,edu_level_code,age_group_label,city_tier_label,income_q_label,edu_level_label,household_size,purchase_freq_per_month,transaction_value_inr,digital_literacy_score,consumer_awareness_index,price_sensitivity,product_availability,age_scaled,tier_scaled,income_scaled,perceived_quality,adoption_score,adoption_binary
0,1,0,3,2,26-35,Tier-1,20_40pct,Graduate,3,4.564,220.95,0.9157,0.7046,0.6164,0.7618,0.75,1.0,0.25,0.5565,0.6824,1
1,4,1,3,2,55+,Tier-2,20_40pct,Graduate,1,10.9,2837.04,0.1582,0.5487,0.6586,0.6106,0.0,0.5,0.25,0.5463,0.4186,0
2,2,1,1,1,36-45,Tier-2,60_80pct,Secondary,3,3.81,304.37,0.0992,0.4514,0.6244,0.3824,0.5,0.5,0.75,0.5661,0.4357,0
3,2,1,2,2,36-45,Tier-2,40_60pct,Graduate,3,3.893,562.94,0.1544,0.5003,0.7472,0.5624,0.5,0.5,0.5,0.5029,0.4431,0
4,0,1,1,1,18-25,Tier-2,60_80pct,Secondary,7,1.373,2297.17,0.6864,0.4,0.6642,0.6395,1.0,0.5,0.75,0.4224,0.5818,1
5,0,1,3,1,18-25,Tier-2,20_40pct,Secondary,6,4.617,459.16,0.6793,0.5662,0.5535,0.521,1.0,0.5,0.25,0.5543,0.6067,1
6,0,1,1,2,18-25,Tier-2,60_80pct,Graduate,4,2.399,820.34,0.6823,0.588,0.5974,0.3722,1.0,0.5,0.75,0.4146,0.5072,1
7,3,1,3,3,46-55,Tier-2,20_40pct,Postgraduate,3,5.203,1914.98,0.0786,0.5996,0.6067,0.5004,0.25,0.5,0.25,0.4674,0.4527,0
8,2,1,1,1,36-45,Tier-2,60_80pct,Secondary,6,1.789,223.66,0.6697,,0.6441,0.4533,0.5,0.5,0.75,0.5554,0.3721,0
9,2,1,0,2,36-45,Tier-2,Top_20pct,Graduate,1,6.289,1892.47,0.3136,0.6286,0.7327,0.4212,0.5,0.5,1.0,0.4142,0.526,1
10,0,2,1,1,18-25,Tier-3,60_80pct,Secondary,7,4.824,2825.64,0.6939,0.5232,0.728,0.317,1.0,0.0,0.75,0.5478,0.3522,0
11,4,1,0,3,55+,Tier-2,Top_20pct,Postgraduate,6,3.217,625.19,0.3337,0.6963,0.583,0.6835,0.0,0.5,1.0,0.6033,0.5846,1
12,3,0,2,3,46-55,Tier-1,40_60pct,Postgraduate,6,1.0,2017.96,0.4355,0.6899,0.6489,0.8075,0.25,1.0,0.5,0.4399,0.5674,1
13,0,2,1,1,18-25,Tier-3,60_80pct,Secondary,6,4.93,330.8,0.6657,0.6608,0.6733,0.2557,1.0,0.0,0.75,0.5395,0.494,0
14,0,1,3,3,18-25,Tier-2,20_40pct,Postgraduate,7,9.805,166.84,0.5217,0.7007,0.5064,0.4498,1.0,0.5,0.25,0.7678,0.6292,1
15,0,0,1,1,18-25,Tier-1,60_80pct,Secondary,5,1.0,111.8,0.8647,0.5714,0.7013,0.5232,1.0,1.0,0.75,0.4363,0.5108,1
16,1,2,3,0,26-35,Tier-3,20_40pct,Below_Secondary,6,1.0,1055.58,0.8245,0.2799,0.6383,0.3201,0.75,0.0,0.25,0.528,0.3355,0
17,2,0,2,2,36-45,Tier-1,40_60pct,Graduate,3,1.0,999.92,0.2012,0.6233,0.5164,0.6499,0.5,1.0,0.5,0.3906,0.5504,1
18,1,1,4,1,26-35,Tier-2,Bottom_20pct,Secondary,6,1.0,,0.7428,0.4338,0.5894,0.4411,0.75,0.5,0.0,0.2518,0.4853,0
19,1,2,4,2,26-35,Tier-3,Bottom_20pct,Graduate,4,9.228,1909.66,0.6798,0.4856,0.5181,0.3769,0.75,0.0,0.0,0.4514,0.4801,0
20,2,2,3,2,36-45,Tier-3,20_40pct,Graduate,2,6.503,372.26,0.7308,0.5683,0.441,0.304,0.5,0.0,0.25,0.4574,0.5236,1
21,0,0,3,0,18-25,Tier-1,20_40pct,Below_Secondary,3,1.13,217.55,0.2482,0.5427,0.5539,0.6582,1.0,1.0,0.25,0.6224,0.6118,1
22,1,1,1,1,26-35,Tier-2,60_80pct,Secondary,6,12.452,283.28,0.7881,0.5752,0.5313,0.5588,0.75,0.5,0.75,0.7039,0.5871,1
23,1,1,3,1,26-35,Tier-2,20_40pct,Secondary,6,1.0,2369.94,0.1845,0.3998,0.4231,0.3837,0.75,0.5,0.25,0.3988,0.4588,0
24,1,0,4,1,26-35,Tier-1,Bottom_20pct,Secondary,4,2.343,1418.49,0.6927,0.4539,0.7029,0.5223,0.75,1.0,0.0,0.4709,0.5018,1
25,2,0,0,0,36-45,Tier-1,Top_20pct,Below_Secondary,3,3.008,572.02,0.2523,0.5152,0.713,,0.5,1.0,1.0,0.4921,0.5687,1
26,0,1,2,0,18-25,Tier-2,40_60pct,Below_Secondary,5,1.0,521.77,0.1392,0.4943,0.5604,0.1127,1.0,0.5,0.5,0.5247,0.3621,0
27,1,1,1,2,26-35,Tier-2,60_80pct,Graduate,5,2.135,399.41,0.6401,0.5989,0.6927,0.368,0.75,0.5,0.75,0.3999,0.4224,0
28,2,0,2,3,36-45,Tier-1,40_60pct,Postgraduate,1,1.0,74.35,0.5668,0.8899,0.5425,0.6221,0.5,1.0,0.5,0.4709,0.6539,1
29,0,1,2,1,18-25,Tier-2,40_60pct,Secondary,5,7.798,157.68,0.5189,0.5242,0.6318,0.2559,1.0,0.5,0.5,0.7726,0.4079,0
30,2,1,2,1,36-45,Tier-2,40_60pct,Secondary,7,1.0,586.73,0.7888,,0.621,0.3715,0.5,0.5,0.5,0.5786,0.498,0
31,0,2,2,2,18-25,Tier-3,40_60pct,Graduate,7,1.0,1131.04,0.2558,0.5329,0.6264,0.269,1.0,0.0,0.5,0.3611,0.4016,0
32,0,2,4,3,18-25,Tier-3,Bottom_20pct,Postgraduate,4,6.593,495.48,0.4468,0.6569,0.5429,0.4295,1.0,0.0,0.0,0.6417,0.5358,1
33,4,0,2,1,55+,Tier-1,40_60pct,Secondary,5,7.59,164.69,0.3789,0.5432,0.6959,0.6497,0.0,1.0,0.5,0.7041,0.5352,1
34,4,2,3,3,55+,Tier-3,20_40pct,Postgraduate,4,3.422,2873.89,0.1819,0.5203,0.5899,0.2829,0.0,0.0,0.25,0.4932,0.3647,0
35,3,2,1,2,46-55,Tier-3,60_80pct,Graduate,3,1.913,193.56,0.2287,0.6155,0.5518,0.2967,0.25,0.0,0.75,0.4402,0.4454,0
36,1,0,2,3,26-35,Tier-1,40_60pct,Postgraduate,1,1.349,675.12,0.6232,0.8081,0.694,0.571,0.75,1.0,0.5,0.4007,0.5635,1
37,0,0,2,0,18-25,Tier-1,40_60pct,Below_Secondary,6,1.0,767.48,0.1374,0.4804,0.7356,0.531,1.0,1.0,0.5,0.4004,0.4637,0
38,2,1,1,3,36-45,Tier-2,60_80pct,Postgraduate,6,3.31,5490.35,0.4792,0.6221,0.6496,0.4462,0.5,0.5,0.75,0.1688,0.4452,0
39,1,0,1,1,26-35,Tier-1,60_80pct,Secondary,6,3.377,284.43,0.2409,0.4552,0.7422,0.5798,0.75,1.0,0.75,0.5493,0.5529,1
40,0,1,2,3,18-25,Tier-2,40_60pct,Postgraduate,1,3.044,693.53,0.512,0.7299,0.5801,0.5796,1.0,0.5,0.5,0.5267,0.5221,1
41,1,1,2,1,26-35,Tier-2,40_60pct,Secondary,6,7.531,781.08,0.2586,0.4211,0.5354,0.4983,0.75,0.5,0.5,0.451,0.4921,0
42,0,1,2,2,18-25,Tier-2,40_60pct,Graduate,5,1.0,239.05,0.5412,0.7833,0.5955,0.5404,1.0,0.5,0.5,0.5255,0.5801,1
43,3,1,1,2,46-55,Tier-2,60_80pct,Graduate,7,5.543,872.91,0.3135,0.5746,0.739,0.6401,0.25,0.5,0.75,0.778,0.4415,0
44,1,0,1,2,26-35,Tier-1,60_80pct,Graduate,6,2.567,449.08,0.7603,0.6094,0.5006,0.6157,0.75,1.0,0.75,0.6622,0.5644,1
45,2,2,2,2,36-45,Tier-3,40_60pct,Graduate,6,1.378,503.22,0.5539,0.6629,0.5755,0.2194,0.5,0.0,0.5,0.5521,0.4687,0
46,1,0,0,1,26-35,Tier-1,Top_20pct,Secondary,2,5.722,347.06,0.2216,0.6288,0.7127,0.506,0.75,1.0,1.0,0.4527,0.5715,1
47,2,2,1,2,36-45,Tier-3,60_80pct,Graduate,7,1.101,1919.03,0.429,0.4028,0.5721,0.2891,0.5,0.0,0.75,0.4003,0.3625,0
48,2,0,0,3,36-45,Tier-1,Top_20pct,Postgraduate,5,1.313,593.51,0.6265,0.6094,0.704,0.6281,0.5,1.0,1.0,0.5295,0.5288,1
49,0,2,0,0,18-25,Tier-3,Top_20pct,Below_Secondary,6,30.0,323.26,0.8149,0.3441,0.6783,0.1598,1.0,0.0,1.0,0.3893,0.338,0
50,4,0,1,2,55+,Tier-1,60_80pct,Graduate,2,10.976,94.73,0.4511,0.4907,0.5164,0.562,0.0,1.0,0.75,0.6194,0.4586,0
51,2,0,0,3,36-45,Tier-1,Top_20pct,Postgraduate,5,5.972,3615.48,0.4636,0.7538,0.6211,0.6743,0.5,1.0,1.0,0.4543,0.6909,1
52,3,0,1,2,46-55,Tier-1,60_80pct,Graduate,4,1.897,711.96,0.2612,0.7239,0.6543,0.6688,0.25,1.0,0.75,0.5404,0.6194,1
53,3,1,2,2,46-55,Tier-2,40_60pct,Graduate,4,3.847,2119.99,0.3435,0.6375,0.5539,0.2823,0.25,0.5,0.5,0.4264,0.4223,0
54,2,2,0,3,36-45,Tier-3,Top_20pct,Postgraduate,6,1.0,2028.14,0.8768,0.7478,0.5343,0.189,0.5,0.0,1.0,0.3608,0.5001,1
55,3,1,2,2,46-55,Tier-2,40_60pct,Graduate,6,2.032,932.14,0.6542,0.7369,0.6183,0.518,0.25,0.5,0.5,0.386,0.5163,1
56,0,2,4,2,18-25,Tier-3,Bottom_20pct,Graduate,2,1.0,1512.61,0.813,0.5716,0.5639,0.2015,1.0,0.0,0.0,0.3408,0.3928,0
57,0,1,3,3,18-25,Tier-2,20_40pct,Postgraduate,1,4.712,2078.63,0.4127,0.7063,0.6121,0.5837,1.0,0.5,0.25,0.4678,0.6697,1
58,0,1,1,3,18-25,Tier-2,60_80pct,Postgraduate,2,9.742,261.38,0.6552,0.7546,0.7377,0.5317,1.0,0.5,0.75,0.5325,0.5671,1
59,1,2,4,2,26-35,Tier-3,Bottom_20pct,Graduate,3,8.292,1486.86,0.7273,0.5778,0.4826,0.3281,0.75,0.0,0.0,0.2782,0.5131,1
60,1,0,1,0,26-35,Tier-1,60_80pct,Below_Secondary,1,9.693,859.79,0.7007,0.4398,0.539,,0.75,1.0,0.75,0.4107,0.4576,0
61,1,0,0,1,26-35,Tier-1,Top_20pct,Secondary,2,1.0,298.59,0.1816,0.4529,0.694,0.5224,0.75,1.0,1.0,0.5605,0.4128,0
62,3,2,4,2,46-55,Tier-3,Bottom_20pct,Graduate,7,5.25,1443.26,0.1574,0.6036,0.5308,0.3989,0.25,0.0,0.0,0.6093,0.3996,0
